assetId,assetType,name,category,district,photoProvider,photoQuery,photoSearchUrl,photoApiQuery,matchRule,creditRequired
MH-F-001,FORT,Ahmednagar Fort,FORT,Ahilyanagar,Wikimedia Commons,"""Ahmednagar Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Ahmednagar%20Fort%22%20fort%20Maharashtra,"""Ahmednagar Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-002,FORT,Akluj Fort,FORT,Solapur,Wikimedia Commons,"""Akluj Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Akluj%20Fort%22%20fort%20Maharashtra,"""Akluj Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-003,FORT,Ambagar Fort,FORT,Bhandara,Wikimedia Commons,"""Ambagar Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Ambagar%20Fort%22%20fort%20Maharashtra,"""Ambagar Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-004,FORT,Daulatabad / Devgiri Fort,FORT,Chhatrapati Sambhajinagar,Wikimedia Commons,"""Daulatabad / Devgiri Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Daulatabad%20/%20Devgiri%20Fort%22%20fort%20Maharashtra,"""Daulatabad / Devgiri Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-005,FORT,Gawilgad Fort,FORT,Amravati,Wikimedia Commons,"""Gawilgad Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Gawilgad%20Fort%22%20fort%20Maharashtra,"""Gawilgad Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-006,FORT,Harishchandragad Fort,FORT,Ahilyanagar,Wikimedia Commons,"""Harishchandragad Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Harishchandragad%20Fort%22%20fort%20Maharashtra,"""Harishchandragad Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-007,FORT,Jaigad Fort,FORT,Ratnagiri,Wikimedia Commons,"""Jaigad Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Jaigad%20Fort%22%20fort%20Maharashtra,"""Jaigad Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-008,FORT,Kandhar Fort,FORT,Nanded,Wikimedia Commons,"""Kandhar Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Kandhar%20Fort%22%20fort%20Maharashtra,"""Kandhar Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-009,FORT,Laling Fort,FORT,Dhule,Wikimedia Commons,"""Laling Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Laling%20Fort%22%20fort%20Maharashtra,"""Laling Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-010,FORT,Lohagad Fort,FORT,Pune,Wikimedia Commons,"""Lohagad Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Lohagad%20Fort%22%20fort%20Maharashtra,"""Lohagad Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-011,FORT,Murud-Janjira Fort,FORT,Raigad,Wikimedia Commons,"""Murud-Janjira Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Murud-Janjira%20Fort%22%20fort%20Maharashtra,"""Murud-Janjira Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-012,FORT,Nagardhan Fort,FORT,Nagpur,Wikimedia Commons,"""Nagardhan Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Nagardhan%20Fort%22%20fort%20Maharashtra,"""Nagardhan Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-013,FORT,Naldurg Fort,FORT,Dharashiv,Wikimedia Commons,"""Naldurg Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Naldurg%20Fort%22%20fort%20Maharashtra,"""Naldurg Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-014,FORT,Narnala Fort,FORT,Akola,Wikimedia Commons,"""Narnala Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Narnala%20Fort%22%20fort%20Maharashtra,"""Narnala Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-015,FORT,Panhala Fort,FORT,Kolhapur,Wikimedia Commons,"""Panhala Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Panhala%20Fort%22%20fort%20Maharashtra,"""Panhala Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-016,FORT,Pauni Fort,FORT,Bhandara,Wikimedia Commons,"""Pauni Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Pauni%20Fort%22%20fort%20Maharashtra,"""Pauni Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-017,FORT,Pratapgad Fort,FORT,Satara,Wikimedia Commons,"""Pratapgad Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Pratapgad%20Fort%22%20fort%20Maharashtra,"""Pratapgad Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-018,FORT,Purandar Fort,FORT,Pune,Wikimedia Commons,"""Purandar Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Purandar%20Fort%22%20fort%20Maharashtra,"""Purandar Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-019,FORT,Rajgad Fort,FORT,Pune,Wikimedia Commons,"""Rajgad Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Rajgad%20Fort%22%20fort%20Maharashtra,"""Rajgad Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-020,FORT,Sajjangad Fort,FORT,Satara,Wikimedia Commons,"""Sajjangad Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Sajjangad%20Fort%22%20fort%20Maharashtra,"""Sajjangad Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
MH-F-021,FORT,Shivneri Fort,FORT,Pune,Wikimedia Commons,"""Shivneri Fort"" fort Maharashtra",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Shivneri%20Fort%22%20fort%20Maharashtra,"""Shivneri Fort"" fort",Exact entity-name match required; otherwise keep placeholder. Never substitute a different fort.,True
