assetId,assetType,name,category,district,photoProvider,photoQuery,photoSearchUrl,photoApiQuery,matchRule,creditRequired
MH-WF-001,SPOT,Vajrai Waterfall,WATERFALL,Satara,Wikimedia Commons,"""Vajrai Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Vajrai%20Waterfall%22%20Maharashtra%20WATERFALL,"""Vajrai Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-002,SPOT,Kune Falls,WATERFALL,Pune,Wikimedia Commons,"""Kune Falls"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Kune%20Falls%22%20Maharashtra%20WATERFALL,"""Kune Falls"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-003,SPOT,Devkund Waterfall,WATERFALL,Raigad,Wikimedia Commons,"""Devkund Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Devkund%20Waterfall%22%20Maharashtra%20WATERFALL,"""Devkund Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-004,SPOT,Randha Falls,WATERFALL,Ahmednagar,Wikimedia Commons,"""Randha Falls"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Randha%20Falls%22%20Maharashtra%20WATERFALL,"""Randha Falls"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-005,SPOT,Umbrella Falls,WATERFALL,Ahmednagar,Wikimedia Commons,"""Umbrella Falls"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Umbrella%20Falls%22%20Maharashtra%20WATERFALL,"""Umbrella Falls"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-006,SPOT,Thoseghar Waterfall,WATERFALL,Satara,Wikimedia Commons,"""Thoseghar Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Thoseghar%20Waterfall%22%20Maharashtra%20WATERFALL,"""Thoseghar Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-007,SPOT,Marleshwar Waterfall,WATERFALL,Ratnagiri,Wikimedia Commons,"""Marleshwar Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Marleshwar%20Waterfall%22%20Maharashtra%20WATERFALL,"""Marleshwar Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-008,SPOT,Amboli / Nangartas Waterfall,WATERFALL,Sindhudurg,Wikimedia Commons,"""Amboli / Nangartas Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Amboli%20/%20Nangartas%20Waterfall%22%20Maharashtra%20WATERFALL,"""Amboli / Nangartas Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-009,SPOT,Ozarde Waterfall,WATERFALL,Pune,Wikimedia Commons,"""Ozarde Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Ozarde%20Waterfall%22%20Maharashtra%20WATERFALL,"""Ozarde Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-010,SPOT,Pandavkada Falls,WATERFALL,Raigad,Wikimedia Commons,"""Pandavkada Falls"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Pandavkada%20Falls%22%20Maharashtra%20WATERFALL,"""Pandavkada Falls"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-011,SPOT,Palasdari Waterfall,WATERFALL,Nashik,Wikimedia Commons,"""Palasdari Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Palasdari%20Waterfall%22%20Maharashtra%20WATERFALL,"""Palasdari Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-012,SPOT,Someshwar Waterfall,WATERFALL,Satara,Wikimedia Commons,"""Someshwar Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Someshwar%20Waterfall%22%20Maharashtra%20WATERFALL,"""Someshwar Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-013,SPOT,Chinaman & Dhobi Waterfalls,WATERFALL,Raigad,Wikimedia Commons,"""Chinaman & Dhobi Waterfalls"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Chinaman%20%26%20Dhobi%20Waterfalls%22%20Maharashtra%20WATERFALL,"""Chinaman & Dhobi Waterfalls"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-WF-014,SPOT,Linganmala Waterfall,WATERFALL,Ahmednagar,Wikimedia Commons,"""Linganmala Waterfall"" Maharashtra WATERFALL",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Linganmala%20Waterfall%22%20Maharashtra%20WATERFALL,"""Linganmala Waterfall"" Maharashtra WATERFALL",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-001,SPOT,Sandhan Valley (Valley of Shadows),VALLEY,Ahmednagar,Wikimedia Commons,"""Sandhan Valley (Valley of Shadows)"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Sandhan%20Valley%20%28Valley%20of%20Shadows%29%22%20Maharashtra%20VALLEY,"""Sandhan Valley (Valley of Shadows)"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-002,SPOT,Konkan Kada,VALLEY,Ahmednagar,Wikimedia Commons,"""Konkan Kada"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Konkan%20Kada%22%20Maharashtra%20VALLEY,"""Konkan Kada"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-003,SPOT,Rajmachi Valley,VALLEY,Pune,Wikimedia Commons,"""Rajmachi Valley"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Rajmachi%20Valley%22%20Maharashtra%20VALLEY,"""Rajmachi Valley"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-004,SPOT,Mulshi Valley,VALLEY,Pune,Wikimedia Commons,"""Mulshi Valley"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Mulshi%20Valley%22%20Maharashtra%20VALLEY,"""Mulshi Valley"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-005,SPOT,Tamhini Ghat Valley,VALLEY,Pune,Wikimedia Commons,"""Tamhini Ghat Valley"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Tamhini%20Ghat%20Valley%22%20Maharashtra%20VALLEY,"""Tamhini Ghat Valley"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-006,SPOT,Velhe Valley,VALLEY,Pune,Wikimedia Commons,"""Velhe Valley"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Velhe%20Valley%22%20Maharashtra%20VALLEY,"""Velhe Valley"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-007,SPOT,Bhimashankar Valley,VALLEY,Pune,Wikimedia Commons,"""Bhimashankar Valley"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Bhimashankar%20Valley%22%20Maharashtra%20VALLEY,"""Bhimashankar Valley"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-008,SPOT,Karnala Valley,VALLEY,Raigad,Wikimedia Commons,"""Karnala Valley"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Karnala%20Valley%22%20Maharashtra%20VALLEY,"""Karnala Valley"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-VL-009,SPOT,Panshet Valley,VALLEY,Pune,Wikimedia Commons,"""Panshet Valley"" Maharashtra VALLEY",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Panshet%20Valley%22%20Maharashtra%20VALLEY,"""Panshet Valley"" Maharashtra VALLEY",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-001,SPOT,Mahabaleshwar,HILL STATION,Satara,Wikimedia Commons,"""Mahabaleshwar"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Mahabaleshwar%22%20Maharashtra%20HILL%20STATION,"""Mahabaleshwar"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-002,SPOT,Panchgani,HILL STATION,Satara,Wikimedia Commons,"""Panchgani"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Panchgani%22%20Maharashtra%20HILL%20STATION,"""Panchgani"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-003,SPOT,Matheran,HILL STATION,Raigad,Wikimedia Commons,"""Matheran"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Matheran%22%20Maharashtra%20HILL%20STATION,"""Matheran"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-004,SPOT,Lonavala,HILL STATION,Pune,Wikimedia Commons,"""Lonavala"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Lonavala%22%20Maharashtra%20HILL%20STATION,"""Lonavala"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-005,SPOT,Khandala,HILL STATION,Pune,Wikimedia Commons,"""Khandala"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Khandala%22%20Maharashtra%20HILL%20STATION,"""Khandala"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-006,SPOT,Chikhaldara,HILL STATION,Amravati,Wikimedia Commons,"""Chikhaldara"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Chikhaldara%22%20Maharashtra%20HILL%20STATION,"""Chikhaldara"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-007,SPOT,Toranmal,HILL STATION,Nandurbar,Wikimedia Commons,"""Toranmal"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Toranmal%22%20Maharashtra%20HILL%20STATION,"""Toranmal"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-008,SPOT,Bhandardara,HILL STATION,Ahmednagar,Wikimedia Commons,"""Bhandardara"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Bhandardara%22%20Maharashtra%20HILL%20STATION,"""Bhandardara"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-009,SPOT,Igatpuri,HILL STATION,Nashik,Wikimedia Commons,"""Igatpuri"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Igatpuri%22%20Maharashtra%20HILL%20STATION,"""Igatpuri"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-010,SPOT,Jawhar,HILL STATION,Palghar,Wikimedia Commons,"""Jawhar"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Jawhar%22%20Maharashtra%20HILL%20STATION,"""Jawhar"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-011,SPOT,Amboli,HILL STATION,Sindhudurg,Wikimedia Commons,"""Amboli"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Amboli%22%20Maharashtra%20HILL%20STATION,"""Amboli"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-HS-012,SPOT,Panhala,HILL STATION,Kolhapur,Wikimedia Commons,"""Panhala"" Maharashtra HILL STATION",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Panhala%22%20Maharashtra%20HILL%20STATION,"""Panhala"" Maharashtra HILL STATION",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-BC-001,SPOT,Alibaug Beach,BEACH,Raigad,Wikimedia Commons,"""Alibaug Beach"" Maharashtra BEACH",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Alibaug%20Beach%22%20Maharashtra%20BEACH,"""Alibaug Beach"" Maharashtra BEACH",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-BC-002,SPOT,Kashid Beach,BEACH,Raigad,Wikimedia Commons,"""Kashid Beach"" Maharashtra BEACH",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Kashid%20Beach%22%20Maharashtra%20BEACH,"""Kashid Beach"" Maharashtra BEACH",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-BC-003,SPOT,Murud Beach,BEACH,Raigad,Wikimedia Commons,"""Murud Beach"" Maharashtra BEACH",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Murud%20Beach%22%20Maharashtra%20BEACH,"""Murud Beach"" Maharashtra BEACH",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
MH-BC-004,SPOT,Diveagar Beach,BEACH,Raigad,Wikimedia Commons,"""Diveagar Beach"" Maharashtra BEACH",https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=%22Diveagar%20Beach%22%20Maharashtra%20BEACH,"""Diveagar Beach"" Maharashtra BEACH",Exact entity-name match required; otherwise keep placeholder. Never substitute a different destination.,True
