spot_id,name,category,district,locality,latitude,longitude,elevation_m,height_m,best_season,difficulty,popularity_tier,highlights,primary_source,verification_status,last_verified,record_status
MH-WF-001,Vajrai Waterfall,WATERFALL,Satara,"Bhambavli, near Kaas",17.6975,73.81,,260,June-September,Easy walk from village,HIDDEN_GEM,One of the tallest waterfalls in Maharashtra; three-tier drop; best after good monsoon rain,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-002,Kune Falls,WATERFALL,Pune,Lonavala,18.728,73.399,,200,July-September,"Easy, roadside viewpoint",POPULAR,"Multi-tier falls near Lonavala, one of the highest in India",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-003,Devkund Waterfall,WATERFALL,Raigad,Bhira,18.348,73.43,,80,July-October,"Moderate, 1.5-2 hr trek from Bhira",POPULAR,"Twin circular pool waterfall, popular monsoon trek near Bhira dam",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-004,Randha Falls,WATERFALL,Ahmednagar,Bhandardara,19.548,73.758,,170,July-September,Roadside viewpoint,POPULAR,Horseshoe-shaped falls on the Pravara river near Bhandardara,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-005,Umbrella Falls,WATERFALL,Ahmednagar,Bhandardara,19.545,73.76,,,July-September,"Easy, near dam spillway",POPULAR,Forms only when the Bhandardara dam gates are opened,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-006,Thoseghar Waterfall,WATERFALL,Satara,"Thoseghar, near Satara",17.735,73.863,,500,July-September,"Easy to viewpoint, steps to base",POPULAR,"Cluster of falls dropping over a large cliff, near Sajjangad/Chalkewadi",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-007,Marleshwar Waterfall,WATERFALL,Ratnagiri,Sangameshwar,17.155,73.625,,,July-September,Moderate; steps to Shiva temple cave,HIDDEN_GEM,Waterfall beside the ancient Marleshwar cave temple in the Sahyadri foothills,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-008,Amboli / Nangartas Waterfall,WATERFALL,Sindhudurg,Amboli,15.955,74.002,,,June-September,Easy roadside stop,POPULAR,Popular monsoon falls in the misty Amboli ghat,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-009,Ozarde Waterfall,WATERFALL,Pune,Bhor,18.22,73.77,,,July-September,"Easy, short walk from road",HIDDEN_GEM,"Lesser-known multi-tier falls near Bhor, quiet crowd-free spot",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-010,Pandavkada Falls,WATERFALL,Raigad,Kharghar,19.033,73.078,,107,July-September,"Easy viewpoint, base unsafe in high flow",POPULAR,"Seasonal falls near Kharghar hills; base area prone to accidents, view from safe distance advised",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-011,Palasdari Waterfall,WATERFALL,Nashik,Igatpuri,19.69,73.55,,,July-September,"Moderate, forest walk",HIDDEN_GEM,"Quiet waterfall near Igatpuri, less crowded than Bhandardara",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-012,Someshwar Waterfall,WATERFALL,Satara,Panchgani,17.95,73.81,,,July-September,Easy,HIDDEN_GEM,"Small scenic falls near Panchgani, good picnic spot in monsoon",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-013,Chinaman & Dhobi Waterfalls,WATERFALL,Raigad,Matheran,18.987,73.27,,,July-September,Easy walk from Matheran market,POPULAR,Two monsoon waterfalls inside the Matheran hill station,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-WF-014,Linganmala Waterfall,WATERFALL,Ahmednagar,Bhandardara,19.53,73.74,,,July-September,Short trek from Bhandardara,HIDDEN_GEM,Quieter alternative to Randha/Umbrella falls in the same valley,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-001,Sandhan Valley (Valley of Shadows),VALLEY,Ahmednagar,"Samrad, Akole",19.572,73.728,900,,"October-February (rappelling), monsoon for flow","Hard, needs guide/rope for canyon section",POPULAR,Deep narrow canyon between Alang-Madan-Kulang and Ratangad; one of India's best canyon treks,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-002,Konkan Kada,VALLEY,Ahmednagar,Harishchandragad,19.389,73.77,1400,,October-February for clear views,Hard trek to plateau,POPULAR,Massive concave overhanging cliff face with sheer 1000+ ft drop on Harishchandragad plateau,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-003,Rajmachi Valley,VALLEY,Pune,"Rajmachi, near Lonavala",18.746,73.497,,,July-February,Moderate trek/cycling trail from Lonavala,POPULAR,"Green valley between twin forts Shrivardhan-Manaranjan, popular monsoon cycling/trek route",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-004,Mulshi Valley,VALLEY,Pune,Mulshi,18.528,73.485,,,June-February,"Easy, mostly drivable",POPULAR,"Backwaters of Mulshi dam surrounded by green hills, popular weekend drive",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-005,Tamhini Ghat Valley,VALLEY,Pune,Tamhini,18.45,73.4,,,July-September,Easy scenic drive with short walks,POPULAR,Misty ghat valley with numerous roadside waterfalls between Pune and Konkan,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-006,Velhe Valley,VALLEY,Pune,"Velhe, near Torna",18.33,73.61,,,July-February,Easy to moderate,HIDDEN_GEM,Quiet farmland valley at the base of Torna and Rajgad forts,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-007,Bhimashankar Valley,VALLEY,Pune,Bhimashankar,19.073,73.535,,,October-February,"Moderate, forest trails",HIDDEN_GEM,Dense forest valley around the Bhimashankar wildlife sanctuary,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-VL-008,Karnala Valley,VALLEY,Raigad,Karnala,18.885,73.115,,,October-February,Easy nature trail,HIDDEN_GEM,"Valley beneath Karnala's needle-shaped pinnacle, part of a bird sanctuary",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
