"fort_id","fort_name","district","locality","base_village","latitude","longitude","location_source","location_confidence","elevation_m","route_id","route_name","route_start","route_start_latitude","route_start_longitude","route_end","route_distance_km","route_duration","route_difficulty","route_type","trek_start","trek_route","trek_distance_km","trek_duration","difficulty","best_season","protection_status","route_source","route_verification_status","gps_status","trek_status","primary_source","verification_status","location_verified_date","last_verified","dataset_scope","record_status","base_village_source","trek_start_latitude","trek_start_longitude","route_confidence"
"MH-F-001","Ahmednagar Fort","Ahilyanagar","Ahmednagar","Ahmednagar city","19.095","74.755","Wikidata coordinate; cross-check with map required","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Heart of Ahmednagar city; parts restricted under Indian Army administration","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Ahmednagar","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-002","Akluj Fort","Solapur","Akluj","Akluj","17.897778","75.018056","Wikidata coordinate","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Akluj / Nira River bank; road-accessible; local access from Akluj","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Akluj","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-003","Ambagar Fort","Bhandara","Ambagar","","21.458839","79.6482","Wikimedia Commons geolocation; Ambagad/Ambagar naming variant","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Tourism / Maharashtra Directorate of Archaeology & Museums","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-004","Daulatabad / Devgiri Fort","Chhatrapati Sambhajinagar","Daulatabad","Daulatabad","19.944543","75.217187","Wikidata coordinate; ASI reference","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Daulatabad; narrow winding rock-cut ascent inside the fort","","","","October–March","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Devgiri / Daulatabad","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-005","Gawilgad Fort","Amravati","Chikhaldara","Chikhaldara","21.3748","77.3397","Wikidata / Wikimedia Commons; National Monument record","SOURCE-BASED; FORT POINT","","MH-F-005-R1","Chikhaldara Approach","Chikhaldara","","","Gawilgad Fort","","","Moderate","Hike/Trek","Chikhaldara","Chikhaldara Approach","","","Moderate","October–March","","Maharashtra Tourism — Gawilgad","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Department of Tourism Maharashtra — Gawilgad","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-006","Harishchandragad Fort","Ahilyanagar","Malshej region","Khireshwar / Pachnai","19.388239","73.775939","Wikidata; coordinate record","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","1422","MH-F-006-R1","Khireshwar Route","Khireshwar","","","Harishchandragad","~7","~6–7 hours","Moderate–difficult","Trek","Khireshwar","Khireshwar Route","~7","~6–7 hours","Moderate–difficult","October–February; monsoon requires extra caution","","Maharashtra Tourism — Harishchandragad","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Harishchandragad","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-007","Jaigad Fort","Ratnagiri","Jaigad","Jaigad","17.302115","73.220903","Wikidata; ASI reference","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","","MH-F-007-R1","Jaigad Village Route","Jaigad village","","","Jaigad Fort","","1.5–2 hours","Beginner–moderate","Trek","Jaigad village","Jaigad Village Route","","1.5–2 hours","Beginner–moderate","October–February; monsoon paths slippery","","Maharashtra Tourism — Jaigad","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Department of Tourism Maharashtra — Jaigad","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-008","Kandhar Fort","Nanded","Kandhar","Kandhar village","18.9005","77.2014","Wikidata coordinate","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Kandhar village → well-defined moderate trail → fort","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Kandhar","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-009","Laling Fort","Dhule","Laling","Laling village","20.81151","74.73921","OpenStreetMap/Mapcarta coordinate","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Laling area → hill fort approach; trekking is highlighted by Tourism source","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Laling","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-010","Lohagad Fort","Pune","Lonavala / Malavli","Malavli / Lohagadwadi","18.710195","73.475862","Wikimedia Commons camera location / OSM; fort vicinity","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","1033","MH-F-010-R1","Malavli Route","Malavli Railway Station","","","Lohagad Fort","~5","2–3 hours","Easy","Trek","Malavli Railway Station","Malavli Route","~5","2–3 hours","Easy","October–March; monsoon with caution","","Maharashtra Tourism — Lohagad","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Lohagad","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
