route_id,route_name,start_point,end_point,states,route_distance_km,difficulty,best_season,highlights,photo_query,primary_source,verification_status,record_status
BR-001,Manali - Leh Highway,Manali,Leh,Himachal Pradesh / Ladakh,474,HARD,June-September,"Rohtang/Atal Tunnel corridor; Baralacha La; Sarchu; Morey Plains; Tanglang La",Manali Leh Highway motorcycle,https://www.jadomoto.com/blogs/guides/best-motorcycle-roads-india,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-002,Srinagar - Leh Highway,Srinagar,Leh,Jammu & Kashmir / Ladakh,434,MODERATE_HARD,June-October,"Sonamarg; Zoji La; Drass; Kargil; Namika La; Fotu La",Srinagar Leh Highway motorcycle,https://www.incredibleindia.gov.in/en/trips/trip-listing/srinagar-to-manali-via-ladakh,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-003,Leh - Nubra Valley,Leh,Diskit / Nubra,Ladakh,120,HARD,June-September,"Khardung La approach; high-altitude desert; Diskit; Nubra Valley",Nubra Valley Khardung La motorcycle,https://www.jadomoto.com/blogs/guides/best-motorcycle-roads-india,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-004,Nubra - Pangong Lake,Nubra Valley,Pangong Lake,Ladakh,160,HARD,June-September,"Remote high-altitude connection between Nubra and Pangong",Nubra Pangong road motorcycle,https://www.tripqube.com/blog/leh-ladakh-motorcycle-trip-guide.html,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-005,Leh - Umling La - Leh,Leh,Umling La,Ladakh,240,EXTREME,June-September,"High-altitude ride toward Umling La and Hanle sector; access/weather can change",Umling La motorcycle Ladakh,https://www.jadomoto.com/blogs/guides/best-motorcycle-roads-india,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-006,Spiti Valley Circuit,Shimla,Kaza / Manali,Himachal Pradesh,450,HARD,May-October,"Nako; Tabo; Kaza; Kunzum Pass corridor and cold-desert roads",Spiti Valley motorcycle road,https://www.jadomoto.com/blogs/guides/best-motorcycle-roads-india,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-007,Kargil - Padum Road,Kargil,Padum,Ladakh,235,HARD,June-September,"Zanskar landscape and Pensi La mountain corridor",Kargil Padum Zanskar motorcycle road,https://www.jadomoto.com/blogs/guides/best-motorcycle-roads-india,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-008,Rajasthan Desert Circuit,Jaipur,Jaipur,Rajasthan,575,MODERATE,October-March,"Jaipur; Pushkar; Jodhpur; Jaisalmer; Bikaner; Thar and Aravalli landscapes",Rajasthan desert motorcycle road Jaisalmer,https://www.jadomoto.com/blogs/guides/rajasthan-motorcycle-guide,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-009,Kochi - Munnar,Kochi,Munnar,Kerala,130,MODERATE,September-February,"Western Ghats climb; tea estates; rainforest scenery",Kochi Munnar motorcycle road,https://www.jadomoto.com/blogs/guides/best-motorcycle-roads-india,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-010,Goa - Gokarna Coastal Ride,Goa,Gokarna,Goa / Karnataka,240,MODERATE,October-March,"Konkan coast; beaches; forest stretches; scenic coastal roads",Goa Gokarna coastal road motorcycle,https://www.jadomoto.com/blogs/guides/best-motorcycle-roads-india,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-011,Guwahati - Tawang,Guwahati,Tawang,Assam / Arunachal Pradesh,450,HARD,October-April,"Bomdila; Sela Pass corridor; Himalayan roads toward Tawang",Guwahati Tawang motorcycle road,https://www.incredibleindia.gov.in/,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-012,Shillong - Cherrapunji - Mawlynnong,Shillong,Mawlynnong,Meghalaya,180,MODERATE,October-April,"Cloud country; waterfalls; winding roads; Khasi hills",Meghalaya Shillong Cherrapunji motorcycle road,https://www.incredibleindia.gov.in/,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-013,Chennai - Mahabalipuram - Pondicherry,Chennai,Pondicherry,Tamil Nadu / Puducherry,200,EASY_MODERATE,October-February,"East Coast Road; sea views; Mahabalipuram heritage; Pondicherry",East Coast Road Chennai Pondicherry motorcycle,https://www.incredibleindia.gov.in/,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-014,Mumbai - Goa Coastal Ride,Mumbai,Goa,Maharashtra / Goa,590,MODERATE_HARD,October-February,"Konkan coast; ghats; sea-facing stretches; long-distance touring",Mumbai Goa coastal road motorcycle Konkan,https://www.incredibleindia.gov.in/,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
BR-015,Bengaluru - Coorg - Wayanad,Bengaluru,Wayanad,Karnataka / Kerala,300,MODERATE,October-February,"Coffee country; Western Ghats curves; forests; hill roads",Coorg Wayanad motorcycle road,https://www.incredibleindia.gov.in/,AI_CURATED_NEEDS_VERIFICATION,DRAFT_FOR_REVIEW
